DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,339100,15,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,155901,09,9999,99,123,
STATSNZ:CEN23_ECI_017(1.0),2023,164401,24,9999,99,1506,
STATSNZ:CEN23_ECI_017(1.0),2023,144800,12,9999,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,114902,13,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,314703,13,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,111000,20,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,170803,16,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,238700,09,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,148700,02,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,315200,18,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,113000,18,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,158200,19,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,354901,07,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,204101,05,9999,99,90,
STATSNZ:CEN23_ECI_017(1.0),2023,320200,03,9999,99,204,
STATSNZ:CEN23_ECI_017(1.0),2023,154202,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,049,777,9999,99,10107,
STATSNZ:CEN23_ECI_017(1.0),2023,208001,999,9999,99,1830,
STATSNZ:CEN23_ECI_017(1.0),2023,152300,22,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,350500,17,9999,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,100900,21,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,109500,08,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,317800,23,9999,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,307801,06,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,187200,03,9999,99,78,
STATSNZ:CEN23_ECI_017(1.0),2023,314100,18,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,342400,19,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,206801,05,9999,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,170502,01,9999,99,261,
STATSNZ:CEN23_ECI_017(1.0),2023,116900,13,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,322000,08,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,192102,23,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,256500,06,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,115700,03,9999,99,171,
STATSNZ:CEN23_ECI_017(1.0),2023,244700,04,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,160201,21,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,327100,05,9999,99,75,
STATSNZ:CEN23_ECI_017(1.0),2023,194601,23,9999,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,203000,05,9999,99,105,
STATSNZ:CEN23_ECI_017(1.0),2023,031,25,9999,99,4437,
STATSNZ:CEN23_ECI_017(1.0),2023,158402,04,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,354500,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,101000,16,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,129501,05,9999,99,375,
STATSNZ:CEN23_ECI_017(1.0),2023,317900,18,9999,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,115601,08,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,151100,12,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,173000,01,9999,99,195,
STATSNZ:CEN23_ECI_017(1.0),2023,223100,12,9999,99,3,
