eurostat: demo_r_pjangrp3 (nuts3)
  DEB1C: no ISO3 for Eurostat country code 'DE'; skipped
  DEB1D: no ISO3 for Eurostat country code 'DE'; skipped
  DEB21: no ISO3 for Eurostat country code 'DE'; skipped
  DEB22: no ISO3 for Eurostat country code 'DE'; skipped
  DEB23: no ISO3 for Eurostat country code 'DE'; skipped
  DEB24: no ISO3 for Eurostat country code 'DE'; skipped
  DEB25: no ISO3 for Eurostat country code 'DE'; skipped
  DEB31: no ISO3 for Eurostat country code 'DE'; skipped
  DEB32: no ISO3 for Eurostat country code 'DE'; skipped
  DEB33: no ISO3 for Eurostat country code 'DE'; skipped
  DEB34: no ISO3 for Eurostat country code 'DE'; skipped
  DEB35: no ISO3 for Eurostat country code 'DE'; skipped
  DEB36: no ISO3 for Eurostat country code 'DE'; skipped
  DEB37: no ISO3 for Eurostat country code 'DE'; skipped
  DEB38: no ISO3 for Eurostat country code 'DE'; skipped
  DEB39: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3A: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3B: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3C: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3D: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3E: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3F: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3G: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3H: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3I: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3J: no ISO3 for Eurostat country code 'DE'; skipped
  DEB3K: no ISO3 for Eurostat country code 'DE'; skipped
  DEC01: no ISO3 for Eurostat country code 'DE'; skipped
  DEC02: no ISO3 for Eurostat country code 'DE'; skipped
  DEC03: no ISO3 for Eurostat country code 'DE'; skipped
  DEC04: no ISO3 for Eurostat country code 'DE'; skipped
  DEC05: no ISO3 for Eurostat country code 'DE'; skipped
  DEC06: no ISO3 for Eurostat country code 'DE'; skipped
  DED21: no ISO3 for Eurostat country code 'DE'; skipped
  DED2C: no ISO3 for Eurostat country code 'DE'; skipped
  DED2D: no ISO3 for Eurostat country code 'DE'; skipped
  DED2E: no ISO3 for Eurostat country code 'DE'; skipped
  DED2F: no ISO3 for Eurostat country code 'DE'; skipped
  DED41: no ISO3 for Eurostat country code 'DE'; skipped
  DED42: no ISO3 for Eurostat country code 'DE'; skipped
  DED43: no ISO3 for Eurostat country code 'DE'; skipped
  DED44: no ISO3 for Eurostat country code 'DE'; skipped
  DED45: no ISO3 for Eurostat country code 'DE'; skipped
  DED51: no ISO3 for Eurostat country code 'DE'; skipped
  DED52: no ISO3 for Eurostat country code 'DE'; skipped
  DED53: no ISO3 for Eurostat country code 'DE'; skipped
  DEE01: no ISO3 for Eurostat country code 'DE'; skipped
  DEE02: no ISO3 for Eurostat country code 'DE'; skipped
  DEE03: no ISO3 for Eurostat country code 'DE'; skipped
  DEE04: no ISO3 for Eurostat country code 'DE'; skipped
  DEE05: no ISO3 for Eurostat country code 'DE'; skipped
  DEE06: no ISO3 for Eurostat country code 'DE'; skipped
  DEE07: no ISO3 for Eurostat country code 'DE'; skipped
  DEE08: no ISO3 for Eurostat country code 'DE'; skipped
  DEE09: no ISO3 for Eurostat country code 'DE'; skipped
  DEE0A: no ISO3 for Eurostat country code 'DE'; skipped
  DEE0B: no ISO3 for Eurostat country code 'DE'; skipped
  DEE0C: no ISO3 for Eurostat country code 'DE'; skipped
  DEE0D: no ISO3 for Eurostat country code 'DE'; skipped
  DEE0E: no ISO3 for Eurostat country code 'DE'; skipped
  DEF01: no ISO3 for Eurostat country code 'DE'; skipped
  DEF02: no ISO3 for Eurostat country code 'DE'; skipped
  DEF03: no ISO3 for Eurostat country code 'DE'; skipped
  DEF04: no ISO3 for Eurostat country code 'DE'; skipped
  DEF05: no ISO3 for Eurostat country code 'DE'; skipped
  DEF06: no ISO3 for Eurostat country code 'DE'; skipped
  DEF07: no ISO3 for Eurostat country code 'DE'; skipped
  DEF08: no ISO3 for Eurostat country code 'DE'; skipped
  DEF09: no ISO3 for Eurostat country code 'DE'; skipped
  DEF0A: no ISO3 for Eurostat country code 'DE'; skipped
  DEF0B: no ISO3 for Eurostat country code 'DE'; skipped
  DEF0C: no ISO3 for Eurostat country code 'DE'; skipped
  DEF0D: no ISO3 for Eurostat country code 'DE'; skipped
  DEF0E: no ISO3 for Eurostat country code 'DE'; skipped
  DEF0F: no ISO3 for Eurostat country code 'DE'; skipped
  DEG01: no ISO3 for Eurostat country code 'DE'; skipped
  DEG02: no ISO3 for Eurostat country code 'DE'; skipped
  DEG03: no ISO3 for Eurostat country code 'DE'; skipped
  DEG04: no ISO3 for Eurostat country code 'DE'; skipped
  DEG05: no ISO3 for Eurostat country code 'DE'; skipped
  DEG06: no ISO3 for Eurostat country code 'DE'; skipped
  DEG07: no ISO3 for Eurostat country code 'DE'; skipped
  DEG09: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0A: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0B: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0C: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0D: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0E: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0F: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0G: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0H: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0I: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0J: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0K: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0L: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0M: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0N: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0P: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0Q: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0R: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0S: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0T: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0U: no ISO3 for Eurostat country code 'DE'; skipped
  DEG0V: no ISO3 for Eurostat country code 'DE'; skipped
  DK011: no ISO3 for Eurostat country code 'DK'; skipped
  DK012: no ISO3 for Eurostat country code 'DK'; skipped
  DK013: no ISO3 for Eurostat country code 'DK'; skipped
  DK014: no ISO3 for Eurostat country code 'DK'; skipped
  DK021: no ISO3 for Eurostat country code 'DK'; skipped
  DK022: no ISO3 for Eurostat country code 'DK'; skipped
  DK031: no ISO3 for Eurostat country code 'DK'; skipped
  DK032: no ISO3 for Eurostat country code 'DK'; skipped
  DK041: no ISO3 for Eurostat country code 'DK'; skipped
  DK042: no ISO3 for Eurostat country code 'DK'; skipped
  DK050: no ISO3 for Eurostat country code 'DK'; skipped
  EE001: no ISO3 for Eurostat country code 'EE'; skipped
  EE004: no ISO3 for Eurostat country code 'EE'; skipped
  EE006: no ISO3 for Eurostat country code 'EE'; skipped
  EE007: no ISO3 for Eurostat country code 'EE'; skipped
  EE008: no ISO3 for Eurostat country code 'EE'; skipped
  EE009: no ISO3 for Eurostat country code 'EE'; skipped
  EE00A: no ISO3 for Eurostat country code 'EE'; skipped
  ES111: no ISO3 for Eurostat country code 'ES'; skipped
  ES112: no ISO3 for Eurostat country code 'ES'; skipped
  ES113: no ISO3 for Eurostat country code 'ES'; skipped
  ES114: no ISO3 for Eurostat country code 'ES'; skipped
  ES120: no ISO3 for Eurostat country code 'ES'; skipped
  ES130: no ISO3 for Eurostat country code 'ES'; skipped
  ES211: no ISO3 for Eurostat country code 'ES'; skipped
  ES212: no ISO3 for Eurostat country code 'ES'; skipped
  ES213: no ISO3 for Eurostat country code 'ES'; skipped
  ES220: no ISO3 for Eurostat country code 'ES'; skipped
  ES230: no ISO3 for Eurostat country code 'ES'; skipped
  ES241: no ISO3 for Eurostat country code 'ES'; skipped
  ES242: no ISO3 for Eurostat country code 'ES'; skipped
  ES243: no ISO3 for Eurostat country code 'ES'; skipped
  ES300: no ISO3 for Eurostat country code 'ES'; skipped
  ES411: no ISO3 for Eurostat country code 'ES'; skipped
  ES412: no ISO3 for Eurostat country code 'ES'; skipped
  ES413: no ISO3 for Eurostat country code 'ES'; skipped
  ES414: no ISO3 for Eurostat country code 'ES'; skipped
  ES415: no ISO3 for Eurostat country code 'ES'; skipped
  ES416: no ISO3 for Eurostat country code 'ES'; skipped
  ES417: no ISO3 for Eurostat country code 'ES'; skipped
  ES418: no ISO3 for Eurostat country code 'ES'; skipped
  ES419: no ISO3 for Eurostat country code 'ES'; skipped
  ES421: no ISO3 for Eurostat country code 'ES'; skipped
  ES422: no ISO3 for Eurostat country code 'ES'; skipped
  ES423: no ISO3 for Eurostat country code 'ES'; skipped
  ES424: no ISO3 for Eurostat country code 'ES'; skipped
  ES425: no ISO3 for Eurostat country code 'ES'; skipped
  ES431: no ISO3 for Eurostat country code 'ES'; skipped
  ES432: no ISO3 for Eurostat country code 'ES'; skipped
  ES511: no ISO3 for Eurostat country code 'ES'; skipped
  ES512: no ISO3 for Eurostat country code 'ES'; skipped
  ES513: no ISO3 for Eurostat country code 'ES'; skipped
  ES514: no ISO3 for Eurostat country code 'ES'; skipped
  ES521: no ISO3 for Eurostat country code 'ES'; skipped
  ES522: no ISO3 for Eurostat country code 'ES'; skipped
  ES523: no ISO3 for Eurostat country code 'ES'; skipped
  ES531: no ISO3 for Eurostat country code 'ES'; skipped
  ES532: no ISO3 for Eurostat country code 'ES'; skipped
  ES533: no ISO3 for Eurostat country code 'ES'; skipped
  ES611: no ISO3 for Eurostat country code 'ES'; skipped
  ES612: no ISO3 for Eurostat country code 'ES'; skipped
  ES613: no ISO3 for Eurostat country code 'ES'; skipped
  ES614: no ISO3 for Eurostat country code 'ES'; skipped
  ES615: no ISO3 for Eurostat country code 'ES'; skipped
  ES616: no ISO3 for Eurostat country code 'ES'; skipped
  ES617: no ISO3 for Eurostat country code 'ES'; skipped
  ES618: no ISO3 for Eurostat country code 'ES'; skipped
  ES620: no ISO3 for Eurostat country code 'ES'; skipped
  ES630: no ISO3 for Eurostat country code 'ES'; skipped
  ES640: no ISO3 for Eurostat country code 'ES'; skipped
  ES703: no ISO3 for Eurostat country code 'ES'; skipped
  ES704: no ISO3 for Eurostat country code 'ES'; skipped
  ES705: no ISO3 for Eurostat country code 'ES'; skipped
  ES706: no ISO3 for Eurostat country code 'ES'; skipped
  ES707: no ISO3 for Eurostat country code 'ES'; skipped
  ES708: no ISO3 for Eurostat country code 'ES'; skipped
  ES709: no ISO3 for Eurostat country code 'ES'; skipped
  FI193: no ISO3 for Eurostat country code 'FI'; skipped
  FI194: no ISO3 for Eurostat country code 'FI'; skipped
  FI195: no ISO3 for Eurostat country code 'FI'; skipped
  FI196: no ISO3 for Eurostat country code 'FI'; skipped
  FI197: no ISO3 for Eurostat country code 'FI'; skipped
  FI198: no ISO3 for Eurostat country code 'FI'; skipped
  FI199: no ISO3 for Eurostat country code 'FI'; skipped
  FI19A: no ISO3 for Eurostat country code 'FI'; skipped
  FI19B: no ISO3 for Eurostat country code 'FI'; skipped
  FI1B1: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C1: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C2: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C3: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C4: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C5: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C6: no ISO3 for Eurostat country code 'FI'; skipped
  FI1C7: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D1: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D2: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D3: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D5: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D7: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D8: no ISO3 for Eurostat country code 'FI'; skipped
  FI1D9: no ISO3 for Eurostat country code 'FI'; skipped
  FI1DA: no ISO3 for Eurostat country code 'FI'; skipped
  FI1DB: no ISO3 for Eurostat country code 'FI'; skipped
  FI1DC: no ISO3 for Eurostat country code 'FI'; skipped
  FI200: no ISO3 for Eurostat country code 'FI'; skipped
  FR101: no ISO3 for Eurostat country code 'FR'; skipped
  FR102: no ISO3 for Eurostat country code 'FR'; skipped
  FR103: no ISO3 for Eurostat country code 'FR'; skipped
  FR104: no ISO3 for Eurostat country code 'FR'; skipped
  FR105: no ISO3 for Eurostat country code 'FR'; skipped
  FR106: no ISO3 for Eurostat country code 'FR'; skipped
  FR107: no ISO3 for Eurostat country code 'FR'; skipped
  FR108: no ISO3 for Eurostat country code 'FR'; skipped
  FRB01: no ISO3 for Eurostat country code 'FR'; skipped
  FRB02: no ISO3 for Eurostat country code 'FR'; skipped
  FRB03: no ISO3 for Eurostat country code 'FR'; skipped
  FRB04: no ISO3 for Eurostat country code 'FR'; skipped
  FRB05: no ISO3 for Eurostat country code 'FR'; skipped
  FRB06: no ISO3 for Eurostat country code 'FR'; skipped
  FRC11: no ISO3 for Eurostat country code 'FR'; skipped
  FRC12: no ISO3 for Eurostat country code 'FR'; skipped
  FRC13: no ISO3 for Eurostat country code 'FR'; skipped
  FRC14: no ISO3 for Eurostat country code 'FR'; skipped
  FRC21: no ISO3 for Eurostat country code 'FR'; skipped
  FRC22: no ISO3 for Eurostat country code 'FR'; skipped
  FRC23: no ISO3 for Eurostat country code 'FR'; skipped
  FRC24: no ISO3 for Eurostat country code 'FR'; skipped
  FRD11: no ISO3 for Eurostat country code 'FR'; skipped
  FRD12: no ISO3 for Eurostat country code 'FR'; skipped
  FRD13: no ISO3 for Eurostat country code 'FR'; skipped
  FRD21: no ISO3 for Eurostat country code 'FR'; skipped
  FRD22: no ISO3 for Eurostat country code 'FR'; skipped
  FRE11: no ISO3 for Eurostat country code 'FR'; skipped
  FRE12: no ISO3 for Eurostat country code 'FR'; skipped
  FRE21: no ISO3 for Eurostat country code 'FR'; skipped
  FRE22: no ISO3 for Eurostat country code 'FR'; skipped
  FRE23: no ISO3 for Eurostat country code 'FR'; skipped
  FRF11: no ISO3 for Eurostat country code 'FR'; skipped
  FRF12: no ISO3 for Eurostat country code 'FR'; skipped
  FRF21: no ISO3 for Eurostat country code 'FR'; skipped
  FRF22: no ISO3 for Eurostat country code 'FR'; skipped
  FRF23: no ISO3 for Eurostat country code 'FR'; skipped
  FRF24: no ISO3 for Eurostat country code 'FR'; skipped
  FRF31: no ISO3 for Eurostat country code 'FR'; skipped
  FRF32: no ISO3 for Eurostat country code 'FR'; skipped
  FRF33: no ISO3 for Eurostat country code 'FR'; skipped
  FRF34: no ISO3 for Eurostat country code 'FR'; skipped
  FRG01: no ISO3 for Eurostat country code 'FR'; skipped
  FRG02: no ISO3 for Eurostat country code 'FR'; skipped
  FRG03: no ISO3 for Eurostat country code 'FR'; skipped
  FRG04: no ISO3 for Eurostat country code 'FR'; skipped
  FRG05: no ISO3 for Eurostat country code 'FR'; skipped
  FRH01: no ISO3 for Eurostat country code 'FR'; skipped
  FRH02: no ISO3 for Eurostat country code 'FR'; skipped
  FRH03: no ISO3 for Eurostat country code 'FR'; skipped
  FRH04: no ISO3 for Eurostat country code 'FR'; skipped
  FRI11: no ISO3 for Eurostat country code 'FR'; skipped
  FRI12: no ISO3 for Eurostat country code 'FR'; skipped
  FRI13: no ISO3 for Eurostat country code 'FR'; skipped
  FRI14: no ISO3 for Eurostat country code 'FR'; skipped
  FRI15: no ISO3 for Eurostat country code 'FR'; skipped
  FRI21: no ISO3 for Eurostat country code 'FR'; skipped
  FRI22: no ISO3 for Eurostat country code 'FR'; skipped
  FRI23: no ISO3 for Eurostat country code 'FR'; skipped
  FRI31: no ISO3 for Eurostat country code 'FR'; skipped
  FRI32: no ISO3 for Eurostat country code 'FR'; skipped
  FRI33: no ISO3 for Eurostat country code 'FR'; skipped
  FRI34: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ11: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ12: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ13: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ14: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ15: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ21: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ22: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ23: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ24: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ25: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ26: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ27: no ISO3 for Eurostat country code 'FR'; skipped
  FRJ28: no ISO3 for Eurostat country code 'FR'; skipped
  FRK11: no ISO3 for Eurostat country code 'FR'; skipped
  FRK12: no ISO3 for Eurostat country code 'FR'; skipped
  FRK13: no ISO3 for Eurostat country code 'FR'; skipped
  FRK14: no ISO3 for Eurostat country code 'FR'; skipped
  FRK21: no ISO3 for Eurostat country code 'FR'; skipped
  FRK22: no ISO3 for Eurostat country code 'FR'; skipped
  FRK23: no ISO3 for Eurostat country code 'FR'; skipped
  FRK24: no ISO3 for Eurostat country code 'FR'; skipped
  FRK25: no ISO3 for Eurostat country code 'FR'; skipped
  FRK26: no ISO3 for Eurostat country code 'FR'; skipped
  FRK27: no ISO3 for Eurostat country code 'FR'; skipped
  FRK28: no ISO3 for Eurostat country code 'FR'; skipped
  FRL01: no ISO3 for Eurostat country code 'FR'; skipped
  FRL02: no ISO3 for Eurostat country code 'FR'; skipped
  FRL03: no ISO3 for Eurostat country code 'FR'; skipped
  FRL04: no ISO3 for Eurostat country code 'FR'; skipped
  FRL05: no ISO3 for Eurostat country code 'FR'; skipped
  FRL06: no ISO3 for Eurostat country code 'FR'; skipped
  FRM01: no ISO3 for Eurostat country code 'FR'; skipped
  FRM02: no ISO3 for Eurostat country code 'FR'; skipped
  FRXXX: no ISO3 for Eurostat country code 'FR'; skipped
  FRY10: no ISO3 for Eurostat country code 'FR'; skipped
  FRY20: no ISO3 for Eurostat country code 'FR'; skipped
  FRY30: no ISO3 for Eurostat country code 'FR'; skipped
  FRY40: no ISO3 for Eurostat country code 'FR'; skipped
  FRY50: no ISO3 for Eurostat country code 'FR'; skipped
  HR021: no ISO3 for Eurostat country code 'HR'; skipped
  HR022: no ISO3 for Eurostat country code 'HR'; skipped
  HR023: no ISO3 for Eurostat country code 'HR'; skipped
  HR024: no ISO3 for Eurostat country code 'HR'; skipped
  HR025: no ISO3 for Eurostat country code 'HR'; skipped
  HR026: no ISO3 for Eurostat country code 'HR'; skipped
  HR027: no ISO3 for Eurostat country code 'HR'; skipped
  HR028: no ISO3 for Eurostat country code 'HR'; skipped
  HR031: no ISO3 for Eurostat country code 'HR'; skipped
  HR032: no ISO3 for Eurostat country code 'HR'; skipped
  HR033: no ISO3 for Eurostat country code 'HR'; skipped
  HR034: no ISO3 for Eurostat country code 'HR'; skipped
  HR035: no ISO3 for Eurostat country code 'HR'; skipped
  HR036: no ISO3 for Eurostat country code 'HR'; skipped
  HR037: no ISO3 for Eurostat country code 'HR'; skipped
  HR041: no ISO3 for Eurostat country code 'HR'; skipped
  HR042: no ISO3 for Eurostat country code 'HR'; skipped
  HR043: no ISO3 for Eurostat country code 'HR'; skipped
  HR044: no ISO3 for Eurostat country code 'HR'; skipped
  HR045: no ISO3 for Eurostat country code 'HR'; skipped
  HR046: no ISO3 for Eurostat country code 'HR'; skipped
  HR047: no ISO3 for Eurostat country code 'HR'; skipped
  HR048: no ISO3 for Eurostat country code 'HR'; skipped
  HR049: no ISO3 for Eurostat country code 'HR'; skipped
  HR04A: no ISO3 for Eurostat country code 'HR'; skipped
  HR04B: no ISO3 for Eurostat country code 'HR'; skipped
  HR04C: no ISO3 for Eurostat country code 'HR'; skipped
  HR04D: no ISO3 for Eurostat country code 'HR'; skipped
  HR04E: no ISO3 for Eurostat country code 'HR'; skipped
  HR050: no ISO3 for Eurostat country code 'HR'; skipped
  HR061: no ISO3 for Eurostat country code 'HR'; skipped
  HR062: no ISO3 for Eurostat country code 'HR'; skipped
  HR063: no ISO3 for Eurostat country code 'HR'; skipped
  HR064: no ISO3 for Eurostat country code 'HR'; skipped
  HR065: no ISO3 for Eurostat country code 'HR'; skipped
  HU110: no ISO3 for Eurostat country code 'HU'; skipped
  HU120: no ISO3 for Eurostat country code 'HU'; skipped
  HU211: no ISO3 for Eurostat country code 'HU'; skipped
  HU212: no ISO3 for Eurostat country code 'HU'; skipped
  HU213: no ISO3 for Eurostat country code 'HU'; skipped
  HU221: no ISO3 for Eurostat country code 'HU'; skipped
  HU222: no ISO3 for Eurostat country code 'HU'; skipped
  HU223: no ISO3 for Eurostat country code 'HU'; skipped
  HU231: no ISO3 for Eurostat country code 'HU'; skipped
  HU232: no ISO3 for Eurostat country code 'HU'; skipped
  HU233: no ISO3 for Eurostat country code 'HU'; skipped
  HU311: no ISO3 for Eurostat country code 'HU'; skipped
  HU312: no ISO3 for Eurostat country code 'HU'; skipped
  HU313: no ISO3 for Eurostat country code 'HU'; skipped
  HU321: no ISO3 for Eurostat country code 'HU'; skipped
  HU322: no ISO3 for Eurostat country code 'HU'; skipped
  HU323: no ISO3 for Eurostat country code 'HU'; skipped
  HU331: no ISO3 for Eurostat country code 'HU'; skipped
  HU332: no ISO3 for Eurostat country code 'HU'; skipped
  HU333: no ISO3 for Eurostat country code 'HU'; skipped
  HUXXX: no ISO3 for Eurostat country code 'HU'; skipped
  IE041: no ISO3 for Eurostat country code 'IE'; skipped
  IE042: no ISO3 for Eurostat country code 'IE'; skipped
  IE051: no ISO3 for Eurostat country code 'IE'; skipped
  IE052: no ISO3 for Eurostat country code 'IE'; skipped
  IE053: no ISO3 for Eurostat country code 'IE'; skipped
  IE061: no ISO3 for Eurostat country code 'IE'; skipped
  IE062: no ISO3 for Eurostat country code 'IE'; skipped
  IE063: no ISO3 for Eurostat country code 'IE'; skipped
  IS001: no ISO3 for Eurostat country code 'IS'; skipped
  IS002: no ISO3 for Eurostat country code 'IS'; skipped
  ITC11: no ISO3 for Eurostat country code 'IT'; skipped
  ITC12: no ISO3 for Eurostat country code 'IT'; skipped
  ITC13: no ISO3 for Eurostat country code 'IT'; skipped
  ITC14: no ISO3 for Eurostat country code 'IT'; skipped
  ITC15: no ISO3 for Eurostat country code 'IT'; skipped
  ITC16: no ISO3 for Eurostat country code 'IT'; skipped
  ITC17: no ISO3 for Eurostat country code 'IT'; skipped
  ITC18: no ISO3 for Eurostat country code 'IT'; skipped
  ITC20: no ISO3 for Eurostat country code 'IT'; skipped
  ITC31: no ISO3 for Eurostat country code 'IT'; skipped
  ITC32: no ISO3 for Eurostat country code 'IT'; skipped
  ITC33: no ISO3 for Eurostat country code 'IT'; skipped
  ITC34: no ISO3 for Eurostat country code 'IT'; skipped
  ITC41: no ISO3 for Eurostat country code 'IT'; skipped
  ITC42: no ISO3 for Eurostat country code 'IT'; skipped
  ITC43: no ISO3 for Eurostat country code 'IT'; skipped
  ITC44: no ISO3 for Eurostat country code 'IT'; skipped
  ITC46: no ISO3 for Eurostat country code 'IT'; skipped
  ITC47: no ISO3 for Eurostat country code 'IT'; skipped
  ITC48: no ISO3 for Eurostat country code 'IT'; skipped
  ITC49: no ISO3 for Eurostat country code 'IT'; skipped
  ITC4A: no ISO3 for Eurostat country code 'IT'; skipped
  ITC4B: no ISO3 for Eurostat country code 'IT'; skipped
  ITC4C: no ISO3 for Eurostat country code 'IT'; skipped
  ITC4D: no ISO3 for Eurostat country code 'IT'; skipped
  ITF11: no ISO3 for Eurostat country code 'IT'; skipped
  ITF12: no ISO3 for Eurostat country code 'IT'; skipped
  ITF13: no ISO3 for Eurostat country code 'IT'; skipped
  ITF14: no ISO3 for Eurostat country code 'IT'; skipped
  ITF21: no ISO3 for Eurostat country code 'IT'; skipped
  ITF22: no ISO3 for Eurostat country code 'IT'; skipped
  ITF31: no ISO3 for Eurostat country code 'IT'; skipped
  ITF32: no ISO3 for Eurostat country code 'IT'; skipped
  ITF33: no ISO3 for Eurostat country code 'IT'; skipped
  ITF34: no ISO3 for Eurostat country code 'IT'; skipped
  ITF35: no ISO3 for Eurostat country code 'IT'; skipped
  ITF43: no ISO3 for Eurostat country code 'IT'; skipped
  ITF44: no ISO3 for Eurostat country code 'IT'; skipped
  ITF45: no ISO3 for Eurostat country code 'IT'; skipped
  ITF46: no ISO3 for Eurostat country code 'IT'; skipped
  ITF47: no ISO3 for Eurostat country code 'IT'; skipped
  ITF48: no ISO3 for Eurostat country code 'IT'; skipped
  ITF51: no ISO3 for Eurostat country code 'IT'; skipped
  ITF52: no ISO3 for Eurostat country code 'IT'; skipped
  ITF61: no ISO3 for Eurostat country code 'IT'; skipped
  ITF62: no ISO3 for Eurostat country code 'IT'; skipped
  ITF63: no ISO3 for Eurostat country code 'IT'; skipped
  ITF64: no ISO3 for Eurostat country code 'IT'; skipped
  ITF65: no ISO3 for Eurostat country code 'IT'; skipped
  ITG11: no ISO3 for Eurostat country code 'IT'; skipped
  ITG12: no ISO3 for Eurostat country code 'IT'; skipped
  ITG13: no ISO3 for Eurostat country code 'IT'; skipped
  ITG14: no ISO3 for Eurostat country code 'IT'; skipped
  ITG15: no ISO3 for Eurostat country code 'IT'; skipped
  ITG16: no ISO3 for Eurostat country code 'IT'; skipped
  ITG17: no ISO3 for Eurostat country code 'IT'; skipped
  ITG18: no ISO3 for Eurostat country code 'IT'; skipped
  ITG19: no ISO3 for Eurostat country code 'IT'; skipped
  ITG25: no ISO3 for Eurostat country code 'IT'; skipped
  ITG26: no ISO3 for Eurostat country code 'IT'; skipped
  ITG27: no ISO3 for Eurostat country code 'IT'; skipped
  ITG28: no ISO3 for Eurostat country code 'IT'; skipped
  ITG29: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2A: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2B: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2C: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2D: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2E: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2F: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2G: no ISO3 for Eurostat country code 'IT'; skipped
  ITG2H: no ISO3 for Eurostat country code 'IT'; skipped
  ITH10: no ISO3 for Eurostat country code 'IT'; skipped
  ITH20: no ISO3 for Eurostat country code 'IT'; skipped
  ITH31: no ISO3 for Eurostat country code 'IT'; skipped
  ITH32: no ISO3 for Eurostat country code 'IT'; skipped
  ITH33: no ISO3 for Eurostat country code 'IT'; skipped
  ITH34: no ISO3 for Eurostat country code 'IT'; skipped
  ITH35: no ISO3 for Eurostat country code 'IT'; skipped
  ITH36: no ISO3 for Eurostat country code 'IT'; skipped
  ITH37: no ISO3 for Eurostat country code 'IT'; skipped
  ITH41: no ISO3 for Eurostat country code 'IT'; skipped
  ITH42: no ISO3 for Eurostat country code 'IT'; skipped
  ITH43: no ISO3 for Eurostat country code 'IT'; skipped
  ITH44: no ISO3 for Eurostat country code 'IT'; skipped
  ITH51: no ISO3 for Eurostat country code 'IT'; skipped
  ITH52: no ISO3 for Eurostat country code 'IT'; skipped
  ITH53: no ISO3 for Eurostat country code 'IT'; skipped
  ITH54: no ISO3 for Eurostat country code 'IT'; skipped
  ITH55: no ISO3 for Eurostat country code 'IT'; skipped
  ITH56: no ISO3 for Eurostat country code 'IT'; skipped
  ITH57: no ISO3 for Eurostat country code 'IT'; skipped
