eurostat: demo_r_pjangrp3 (nuts3)
  BE344: no ISO3 for Eurostat country code 'BE'; skipped
  BE345: no ISO3 for Eurostat country code 'BE'; skipped
  BE351: no ISO3 for Eurostat country code 'BE'; skipped
  BE352: no ISO3 for Eurostat country code 'BE'; skipped
  BE353: no ISO3 for Eurostat country code 'BE'; skipped
  BG311: no ISO3 for Eurostat country code 'BG'; skipped
  BG312: no ISO3 for Eurostat country code 'BG'; skipped
  BG313: no ISO3 for Eurostat country code 'BG'; skipped
  BG314: no ISO3 for Eurostat country code 'BG'; skipped
  BG315: no ISO3 for Eurostat country code 'BG'; skipped
  BG321: no ISO3 for Eurostat country code 'BG'; skipped
  BG322: no ISO3 for Eurostat country code 'BG'; skipped
  BG323: no ISO3 for Eurostat country code 'BG'; skipped
  BG324: no ISO3 for Eurostat country code 'BG'; skipped
  BG325: no ISO3 for Eurostat country code 'BG'; skipped
  BG331: no ISO3 for Eurostat country code 'BG'; skipped
  BG332: no ISO3 for Eurostat country code 'BG'; skipped
  BG333: no ISO3 for Eurostat country code 'BG'; skipped
  BG334: no ISO3 for Eurostat country code 'BG'; skipped
  BG341: no ISO3 for Eurostat country code 'BG'; skipped
  BG342: no ISO3 for Eurostat country code 'BG'; skipped
  BG343: no ISO3 for Eurostat country code 'BG'; skipped
  BG344: no ISO3 for Eurostat country code 'BG'; skipped
  BG411: no ISO3 for Eurostat country code 'BG'; skipped
  BG412: no ISO3 for Eurostat country code 'BG'; skipped
  BG413: no ISO3 for Eurostat country code 'BG'; skipped
  BG414: no ISO3 for Eurostat country code 'BG'; skipped
  BG415: no ISO3 for Eurostat country code 'BG'; skipped
  BG421: no ISO3 for Eurostat country code 'BG'; skipped
  BG422: no ISO3 for Eurostat country code 'BG'; skipped
  BG423: no ISO3 for Eurostat country code 'BG'; skipped
  BG424: no ISO3 for Eurostat country code 'BG'; skipped
  BG425: no ISO3 for Eurostat country code 'BG'; skipped
  CH011: no ISO3 for Eurostat country code 'CH'; skipped
  CH012: no ISO3 for Eurostat country code 'CH'; skipped
  CH013: no ISO3 for Eurostat country code 'CH'; skipped
  CH021: no ISO3 for Eurostat country code 'CH'; skipped
  CH022: no ISO3 for Eurostat country code 'CH'; skipped
  CH023: no ISO3 for Eurostat country code 'CH'; skipped
  CH024: no ISO3 for Eurostat country code 'CH'; skipped
  CH025: no ISO3 for Eurostat country code 'CH'; skipped
  CH031: no ISO3 for Eurostat country code 'CH'; skipped
  CH032: no ISO3 for Eurostat country code 'CH'; skipped
  CH033: no ISO3 for Eurostat country code 'CH'; skipped
  CH040: no ISO3 for Eurostat country code 'CH'; skipped
  CH051: no ISO3 for Eurostat country code 'CH'; skipped
  CH052: no ISO3 for Eurostat country code 'CH'; skipped
  CH053: no ISO3 for Eurostat country code 'CH'; skipped
  CH054: no ISO3 for Eurostat country code 'CH'; skipped
  CH055: no ISO3 for Eurostat country code 'CH'; skipped
  CH056: no ISO3 for Eurostat country code 'CH'; skipped
  CH057: no ISO3 for Eurostat country code 'CH'; skipped
  CH061: no ISO3 for Eurostat country code 'CH'; skipped
  CH062: no ISO3 for Eurostat country code 'CH'; skipped
  CH063: no ISO3 for Eurostat country code 'CH'; skipped
  CH064: no ISO3 for Eurostat country code 'CH'; skipped
  CH065: no ISO3 for Eurostat country code 'CH'; skipped
  CH066: no ISO3 for Eurostat country code 'CH'; skipped
  CH070: no ISO3 for Eurostat country code 'CH'; skipped
  CY000: no ISO3 for Eurostat country code 'CY'; skipped
  CZ010: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ020: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ031: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ032: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ041: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ042: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ051: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ052: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ053: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ063: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ064: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ071: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ072: no ISO3 for Eurostat country code 'CZ'; skipped
  CZ080: no ISO3 for Eurostat country code 'CZ'; skipped
  DE111: no ISO3 for Eurostat country code 'DE'; skipped
  DE112: no ISO3 for Eurostat country code 'DE'; skipped
  DE113: no ISO3 for Eurostat country code 'DE'; skipped
  DE114: no ISO3 for Eurostat country code 'DE'; skipped
  DE115: no ISO3 for Eurostat country code 'DE'; skipped
  DE116: no ISO3 for Eurostat country code 'DE'; skipped
  DE117: no ISO3 for Eurostat country code 'DE'; skipped
  DE118: no ISO3 for Eurostat country code 'DE'; skipped
  DE119: no ISO3 for Eurostat country code 'DE'; skipped
  DE11A: no ISO3 for Eurostat country code 'DE'; skipped
  DE11B: no ISO3 for Eurostat country code 'DE'; skipped
  DE11C: no ISO3 for Eurostat country code 'DE'; skipped
  DE11D: no ISO3 for Eurostat country code 'DE'; skipped
  DE121: no ISO3 for Eurostat country code 'DE'; skipped
  DE122: no ISO3 for Eurostat country code 'DE'; skipped
  DE123: no ISO3 for Eurostat country code 'DE'; skipped
  DE124: no ISO3 for Eurostat country code 'DE'; skipped
  DE125: no ISO3 for Eurostat country code 'DE'; skipped
  DE126: no ISO3 for Eurostat country code 'DE'; skipped
  DE127: no ISO3 for Eurostat country code 'DE'; skipped
  DE128: no ISO3 for Eurostat country code 'DE'; skipped
  DE129: no ISO3 for Eurostat country code 'DE'; skipped
  DE12A: no ISO3 for Eurostat country code 'DE'; skipped
  DE12B: no ISO3 for Eurostat country code 'DE'; skipped
  DE12C: no ISO3 for Eurostat country code 'DE'; skipped
  DE131: no ISO3 for Eurostat country code 'DE'; skipped
  DE132: no ISO3 for Eurostat country code 'DE'; skipped
  DE133: no ISO3 for Eurostat country code 'DE'; skipped
  DE134: no ISO3 for Eurostat country code 'DE'; skipped
  DE135: no ISO3 for Eurostat country code 'DE'; skipped
  DE136: no ISO3 for Eurostat country code 'DE'; skipped
  DE137: no ISO3 for Eurostat country code 'DE'; skipped
  DE138: no ISO3 for Eurostat country code 'DE'; skipped
  DE139: no ISO3 for Eurostat country code 'DE'; skipped
  DE13A: no ISO3 for Eurostat country code 'DE'; skipped
  DE141: no ISO3 for Eurostat country code 'DE'; skipped
  DE142: no ISO3 for Eurostat country code 'DE'; skipped
  DE143: no ISO3 for Eurostat country code 'DE'; skipped
  DE144: no ISO3 for Eurostat country code 'DE'; skipped
  DE145: no ISO3 for Eurostat country code 'DE'; skipped
  DE146: no ISO3 for Eurostat country code 'DE'; skipped
  DE147: no ISO3 for Eurostat country code 'DE'; skipped
  DE148: no ISO3 for Eurostat country code 'DE'; skipped
  DE149: no ISO3 for Eurostat country code 'DE'; skipped
  DE211: no ISO3 for Eurostat country code 'DE'; skipped
  DE212: no ISO3 for Eurostat country code 'DE'; skipped
  DE213: no ISO3 for Eurostat country code 'DE'; skipped
  DE214: no ISO3 for Eurostat country code 'DE'; skipped
  DE215: no ISO3 for Eurostat country code 'DE'; skipped
  DE216: no ISO3 for Eurostat country code 'DE'; skipped
  DE217: no ISO3 for Eurostat country code 'DE'; skipped
  DE218: no ISO3 for Eurostat country code 'DE'; skipped
  DE219: no ISO3 for Eurostat country code 'DE'; skipped
  DE21A: no ISO3 for Eurostat country code 'DE'; skipped
  DE21B: no ISO3 for Eurostat country code 'DE'; skipped
  DE21C: no ISO3 for Eurostat country code 'DE'; skipped
  DE21D: no ISO3 for Eurostat country code 'DE'; skipped
  DE21E: no ISO3 for Eurostat country code 'DE'; skipped
  DE21F: no ISO3 for Eurostat country code 'DE'; skipped
  DE21G: no ISO3 for Eurostat country code 'DE'; skipped
  DE21H: no ISO3 for Eurostat country code 'DE'; skipped
  DE21I: no ISO3 for Eurostat country code 'DE'; skipped
  DE21J: no ISO3 for Eurostat country code 'DE'; skipped
  DE21K: no ISO3 for Eurostat country code 'DE'; skipped
  DE21L: no ISO3 for Eurostat country code 'DE'; skipped
  DE21M: no ISO3 for Eurostat country code 'DE'; skipped
  DE21N: no ISO3 for Eurostat country code 'DE'; skipped
  DE221: no ISO3 for Eurostat country code 'DE'; skipped
  DE222: no ISO3 for Eurostat country code 'DE'; skipped
  DE223: no ISO3 for Eurostat country code 'DE'; skipped
  DE224: no ISO3 for Eurostat country code 'DE'; skipped
  DE225: no ISO3 for Eurostat country code 'DE'; skipped
  DE226: no ISO3 for Eurostat country code 'DE'; skipped
  DE227: no ISO3 for Eurostat country code 'DE'; skipped
  DE228: no ISO3 for Eurostat country code 'DE'; skipped
  DE229: no ISO3 for Eurostat country code 'DE'; skipped
  DE22A: no ISO3 for Eurostat country code 'DE'; skipped
  DE22B: no ISO3 for Eurostat country code 'DE'; skipped
  DE22C: no ISO3 for Eurostat country code 'DE'; skipped
