DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,249800,999,361,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,356400,999,400,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,233900,999,511,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,231400,999,400,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,334001,999,123,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,155901,999,2,99,510,
STATSNZ:CEN23_ECI_017(1.0),2023,159401,999,100,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,110900,999,129,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,128101,999,7777,99,2241,
STATSNZ:CEN23_ECI_017(1.0),2023,314802,999,412,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,212800,999,4,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,353400,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,248600,999,361,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,203,999,126,99,54,
STATSNZ:CEN23_ECI_017(1.0),2023,157400,999,5,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,233300,999,400,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,351500,999,1,99,2034,
STATSNZ:CEN23_ECI_017(1.0),2023,144001,999,5,99,87,
STATSNZ:CEN23_ECI_017(1.0),2023,134600,999,421,99,99,
STATSNZ:CEN23_ECI_017(1.0),2023,183800,999,321,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,114400,999,6,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,104400,999,127,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,123000,999,413,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,03,999,371,99,1950,
STATSNZ:CEN23_ECI_017(1.0),2023,320400,999,122,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,126401,999,9999,99,3123,
STATSNZ:CEN23_ECI_017(1.0),2023,200000,999,129,99,45,
STATSNZ:CEN23_ECI_017(1.0),2023,194300,999,129,99,90,
STATSNZ:CEN23_ECI_017(1.0),2023,109003,999,121,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,307100,999,371,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,110201,999,414,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,152800,999,126,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,161900,999,300,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,07602,999,125,99,288,
STATSNZ:CEN23_ECI_017(1.0),2023,347300,999,3,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,119600,999,444,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,120202,999,331,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,232701,999,511,99,51,
STATSNZ:CEN23_ECI_017(1.0),2023,256700,999,441,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,301301,999,411,99,36,
