"행정구역","2023년12월_총인구수","2023년12월_세대수"
"서울특별시  (1100000000)","9,386,034","4,469,417"
"서울특별시 종로구 (1111000000)","139,417","72,067"
"서울특별시 중구 (1114000000)","121,312","64,714"
"서울특별시 용산구 (1117000000)","213,151","107,825"
"서울특별시 성동구 (1120000000)","277,361","133,089"
"서울특별시 광진구 (1121500000)","335,554","170,077"
"서울특별시 동대문구 (1123000000)","341,149","172,801"
"서울특별시 중랑구 (1126000000)","382,155","188,097"
"서울특별시 성북구 (1129000000)","425,602","196,800"
"서울특별시 강북구 (1130500000)","288,113","143,560"
"서울특별시 도봉구 (1132000000)","306,948","138,261"
"서울특별시 노원구 (1135000000)","498,213","217,904"
"서울특별시 은평구 (1138000000)","466,770","215,721"
"서울특별시 서대문구 (1141000000)","306,231","146,845"
"서울특별시 마포구 (1144000000)","363,697","181,090"
"서울특별시 양천구 (1147000000)","436,028","180,695"
"서울특별시 강서구 (1150000000)","563,058","274,084"
"서울특별시 구로구 (1153000000)","392,405","184,096"
"서울특별시 금천구 (1154500000)","227,481","120,381"
"서울특별시 영등포구 (1156000000)","374,794","190,737"
"서울특별시 동작구 (1159000000)","378,769","186,675"
"서울특별시 관악구 (1162000000)","481,956","284,578"
"서울특별시 서초구 (1165000000)","407,664","169,884"
"서울특별시 강남구 (1168000000)","544,873","239,775"
"서울특별시 송파구 (1171000000)","654,166","285,927"
"서울특별시 강동구 (1174000000)","459,167","203,734"
