"행정구역","2023년12월_총인구수","2023년12월_세대수"
"경상북도  (4700000000)","2,554,324","1,282,500"
"경상북도 포항시 (4711000000)","493,033","233,932"
"경상북도 포항시 남구 (4711100000)","226,278","110,639"
"경상북도 포항시 북구 (4711300000)","266,755","123,293"
"경상북도 경주시 (4713000000)","247,489","124,577"
"경상북도 김천시 (4715000000)","137,515","69,125"
"경상북도 안동시 (4717000000)","152,935","78,283"
"경상북도 구미시 (4719000000)","405,506","187,139"
"경상북도 영주시 (4721000000)","100,199","51,423"
"경상북도 영천시 (4723000000)","100,212","54,976"
"경상북도 상주시 (4725000000)","93,858","49,493"
"경상북도 문경시 (4728000000)","68,755","36,814"
"경상북도 경산시 (4729000000)","266,205","129,264"
"경상북도 의성군 (4773000000)","50,086","29,471"
"경상북도 청송군 (4775000000)","24,019","13,999"
"경상북도 영양군 (4776000000)","15,661","8,994"
"경상북도 영덕군 (4777000000)","34,055","19,725"
"경상북도 청도군 (4782000000)","41,316","23,525"
"경상북도 고령군 (4783000000)","30,139","17,023"
"경상북도 성주군 (4784000000)","42,086","24,059"
"경상북도 칠곡군 (4785000000)","110,581","54,578"
"경상북도 예천군 (4790000000)","55,325","28,145"
"경상북도 봉화군 (4792000000)","29,603","16,823"
"경상북도 울진군 (4793000000)","46,669","25,527"
"경상북도 울릉군 (4794000000)","9,077","5,605"
