"행정구역","2023년12월_총인구수","2023년12월_세대수"
"경기도  (4100000000)","13,630,821","5,978,724"
"경기도 수원시 (4111000000)","1,197,257","537,078"
"경기도 수원시 장안구 (4111100000)","270,849","119,900"
"경기도 수원시 권선구 (4111300000)","366,167","163,796"
"경기도 수원시 팔달구 (4111500000)","197,213","98,505"
"경기도 수원시 영통구 (4111700000)","363,028","154,877"
"경기도 성남시 (4113000000)","919,747","409,602"
"경기도 성남시 수정구 (4113100000)","235,942","116,390"
"경기도 성남시 중원구 (4113300000)","210,848","101,034"
"경기도 성남시 분당구 (4113500000)","472,957","192,178"
"경기도 의정부시 (4115000000)","464,213","209,891"
"경기도 안양시 (4117000000)","544,660","227,627"
"경기도 안양시 만안구 (4117100000)","230,664","101,831"
"경기도 안양시 동안구 (4117300000)","313,996","125,796"
"경기도 부천시 (4119000000)","779,968","344,096"
"경기도 광명시 (4121000000)","280,197","115,114"
"경기도 평택시 (4122000000)","591,022","279,835"
"경기도 동두천시 (4125000000)","88,626","43,366"
"경기도 안산시 (4127000000)","629,308","288,567"
"경기도 안산시 상록구 (4127100000)","334,867","153,212"
"경기도 안산시 단원구 (4127300000)","294,441","135,355"
"경기도 고양시 (4128000000)","1,074,907","464,380"
"경기도 고양시 덕양구 (4128100000)","496,438","220,682"
"경기도 고양시 일산동구 (4128500000)","291,597","127,885"
"경기도 고양시 일산서구 (4128700000)","286,872","115,813"
"경기도 과천시 (4129000000)","81,000","29,194"
"경기도 구리시 (4131000000)","187,093","80,450"
"경기도 남양주시 (4136000000)","732,265","304,768"
"경기도 오산시 (4137000000)","229,656","104,437"
"경기도 시흥시 (4139000000)","519,715","228,474"
"경기도 군포시 (4141000000)","261,229","113,032"
"경기도 의왕시 (4143000000)","158,870","64,402"
"경기도 하남시 (4145000000)","329,861","141,764"
"경기도 용인시 (4146000000)","1,075,566","435,340"
"경기도 용인시 처인구 (4146100000)","261,488","117,863"
"경기도 용인시 기흥구 (4146300000)","436,656","174,971"
"경기도 용인시 수지구 (4146500000)","377,422","142,506"
"경기도 파주시 (4148000000)","497,753","220,158"
"경기도 이천시 (4150000000)","222,098","103,793"
"경기도 안성시 (4155000000)","189,034","91,026"
"경기도 김포시 (4157000000)","486,172","204,594"
"경기도 화성시 (4159000000)","944,342","404,623"
"경기도 광주시 (4161000000)","391,377","170,845"
"경기도 양주시 (4163000000)","268,026","117,518"
"경기도 포천시 (4165000000)","143,323","72,876"
"경기도 여주시 (4167000000)","114,412","55,514"
"경기도 연천군 (4180000000)","41,584","21,943"
"경기도 가평군 (4182000000)","62,302","32,606"
"경기도 양평군 (4183000000)","125,238","61,811"
