"행정구역","2023년12월_총인구수","2023년12월_세대수"
"제주특별자치도  (5000000000)","675,252","313,155"
"제주특별자치도 제주시 (5011000000)","491,654","224,433"
"제주특별자치도 서귀포시 (5013000000)","183,598","88,722"
