"행정구역","2023년12월_총인구수","2023년12월_세대수"
"경상남도  (4800000000)","3,251,158","1,525,502"
"경상남도 창원시 (4812000000)","1,009,038","456,830"
"경상남도 창원시 의창구 (4812100000)","213,342","96,997"
"경상남도 창원시 성산구 (4812300000)","245,259","106,216"
"경상남도 창원시 마산합포구 (4812500000)","179,394","85,763"
"경상남도 창원시 마산회원구 (4812700000)","179,818","82,225"
"경상남도 창원시 진해구 (4812900000)","191,225","85,629"
"경상남도 진주시 (4817000000)","341,074","159,833"
"경상남도 통영시 (4822000000)","120,551","59,466"
"경상남도 사천시 (4824000000)","109,030","55,125"
"경상남도 김해시 (4825000000)","533,659","231,783"
"경상남도 밀양시 (4827000000)","102,084","53,906"
"경상남도 거제시 (4831000000)","234,038","104,565"
"경상남도 양산시 (4833000000)","355,122","158,640"
"경상남도 의령군 (4872000000)","25,475","14,923"
"경상남도 함안군 (4873000000)","60,203","30,566"
"경상남도 창녕군 (4874000000)","57,083","32,027"
"경상남도 고성군 (4882000000)","49,468","26,546"
"경상남도 남해군 (4884000000)","40,780","22,534"
"경상남도 하동군 (4885000000)","41,606","23,567"
"경상남도 산청군 (4886000000)","33,752","19,639"
"경상남도 함양군 (4887000000)","36,945","20,679"
"경상남도 거창군 (4888000000)","60,047","30,934"
"경상남도 합천군 (4889000000)","41,203","23,939"
