"행정구역","2023년12월_총인구수","2023년12월_세대수"
"인천광역시  (2800000000)","2,997,410","1,350,912"
"인천광역시 중구 (2811000000)","158,958","79,520"
"인천광역시 동구 (2814000000)","59,482","28,091"
"인천광역시 미추홀구 (2817700000)","405,995","196,607"
"인천광역시 연수구 (2818500000)","392,416","159,905"
"인천광역시 남동구 (2820000000)","492,415","224,268"
"인천광역시 부평구 (2823700000)","494,138","223,271"
"인천광역시 계양구 (2824500000)","280,266","125,640"
"인천광역시 서구 (2826000000)","624,358","266,168"
"인천광역시 강화군 (2871000000)","69,005","35,005"
"인천광역시 옹진군 (2872000000)","20,377","12,437"
