"행정구역","2023년12월_총인구수","2023년12월_세대수"
"부산광역시  (2600000000)","3,293,362","1,564,588"
"부산광역시 중구 (2611000000)","38,619","23,747"
"부산광역시 서구 (2614000000)","104,089","53,630"
"부산광역시 동구 (2617000000)","87,792","47,428"
"부산광역시 영도구 (2620000000)","106,548","54,293"
"부산광역시 부산진구 (2623000000)","359,508","181,914"
"부산광역시 동래구 (2626000000)","270,815","119,706"
"부산광역시 남구 (2629000000)","254,185","118,427"
"부산광역시 북구 (2632000000)","273,596","123,082"
"부산광역시 해운대구 (2635000000)","380,448","169,532"
"부산광역시 사하구 (2638000000)","297,831","140,764"
"부산광역시 금정구 (2641000000)","215,590","105,906"
"부산광역시 강서구 (2644000000)","142,396","62,238"
"부산광역시 연제구 (2647000000)","205,766","95,873"
"부산광역시 수영구 (2650000000)","174,518","88,299"
"부산광역시 사상구 (2653000000)","202,932","100,003"
"부산광역시 기장군 (2671000000)","178,729","79,746"
