"행정구역","2023년12월_총인구수","2023년12월_세대수"
"전라남도  (4600000000)","1,804,217","911,442"
"전라남도 목포시 (4611000000)","214,156","104,375"
"전라남도 여수시 (4613000000)","271,696","128,733"
"전라남도 순천시 (4615000000)","278,137","126,412"
"전라남도 나주시 (4617000000)","117,377","60,419"
"전라남도 광양시 (4623000000)","152,666","70,162"
"전라남도 담양군 (4671000000)","45,373","24,557"
"전라남도 곡성군 (4672000000)","26,905","15,577"
"전라남도 구례군 (4673000000)","24,314","13,432"
"전라남도 고흥군 (4677000000)","61,113","35,360"
"전라남도 보성군 (4678000000)","37,686","21,967"
"전라남도 화순군 (4679000000)","61,254","31,976"
"전라남도 장흥군 (4680000000)","35,046","19,691"
"전라남도 강진군 (4681000000)","32,722","18,449"
"전라남도 해남군 (4682000000)","64,575","34,916"
"전라남도 영암군 (4683000000)","52,350","28,817"
"전라남도 무안군 (4684000000)","90,296","43,436"
"전라남도 함평군 (4686000000)","30,601","18,065"
"전라남도 영광군 (4687000000)","51,750","27,602"
"전라남도 장성군 (4688000000)","42,543","23,400"
"전라남도 완도군 (4689000000)","46,641","25,602"
"전라남도 진도군 (4690000000)","28,979","16,548"
"전라남도 신안군 (4691000000)","38,037","21,946"
