"행정구역","2023년12월_총인구수","2023년12월_세대수"
"전라북도  (4500000000)","1,754,757","861,193"
"전라북도 전주시 (4511000000)","642,727","296,394"
"전라북도 전주시 완산구 (4511100000)","327,178","153,376"
"전라북도 전주시 덕진구 (4511300000)","315,549","143,018"
"전라북도 군산시 (4513000000)","259,980","123,996"
"전라북도 익산시 (4514000000)","270,036","130,197"
"전라북도 정읍시 (4518000000)","103,620","54,734"
"전라북도 남원시 (4519000000)","76,781","39,839"
"전라북도 김제시 (4521000000)","81,430","43,625"
"전라북도 완주군 (4571000000)","97,827","48,652"
"전라북도 진안군 (4572000000)","24,465","13,593"
"전라북도 무주군 (4573000000)","23,251","13,008"
"전라북도 장수군 (4574000000)","20,983","11,542"
"전라북도 임실군 (4575000000)","25,956","14,916"
"전라북도 순창군 (4577000000)","26,764","14,332"
"전라북도 고창군 (4579000000)","51,750","28,733"
"전라북도 부안군 (4580000000)","49,187","27,632"
