adm3_name	adm3_name1	adm3_name2	adm3_name3	adm3_pcode	adm2_name	adm2_name1	adm2_name2	adm2_name3	adm2_pcode	adm1_name	adm1_name1	adm1_name2	adm1_name3	adm1_pcode	adm0_name	adm0_name1	adm0_name2	adm0_name3	adm0_pcode	valid_on	valid_to	area_sqkm	version	lang	lang1	lang2	lang3	adm3_ref_name	center_lat	center_lon
Al-Duski	الدوسكي			IQG09Q02N01	Duhok	دهوك			IQG09Q02	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		458.4730269	v01	en	ar			Al-Duski	37.02045011	43.03689886
Al-Emam	الامام			IQG07Q03N02	Al-Mahaweel	المحاويل			IQG07Q03	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		340.17646743	v01	en	ar			Al-Emam	32.62159713	44.5672432
Al-Esshaqi	الاسحاقي			IQG16Q04N02	Balad	بلد			IQG16Q04	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		1810.35677998	v01	en	ar			Al-Esshaqi	33.95902668	43.64525092
Al-Fadhliya	الفضلية			IQG17Q05N03	Suq Al-Shoyokh	سوق الشيوخ			IQG17Q05	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		604.44872852	v01	en	ar			Al-Fadhliya	30.79915097	46.3795129
Al-Fahama	الفحامة			IQG08Q01N02	Al-Adhamiya	الاعظمية			IQG08Q01	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		94.58238663	v01	en	ar			Al-Fahama	33.44261688	44.4042278
Al-Fajer	الفجر			IQG17Q02N01	Al-Rifai	الرفاعي			IQG17Q02	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		474.6156672	v01	en	ar			Al-Fajer	31.88514481	45.8706125
Al-Fawwar	الفوار			IQG05Q01N02	Afaq	عفك			IQG05Q01	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		754.39450891	v01	en	ar			Al-Fawwar	32.1891212	45.28729771
Al-Forat	الفرات			IQG01Q07N02	Heet	هيت			IQG01Q07	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		2596.02908387	v01	en	ar			Al-Forat	33.94490121	43.01753123
Al-Fuhood	الفهود			IQG17Q01N01	Al-Chibayish	الجبايش			IQG17Q01	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		533.96589855	v01	en	ar			Al-Fuhood	30.78874197	46.71331329
Al-Garma	الكرمة			IQG01Q01N02	Al-Falluja	الفلوجة			IQG01Q01	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		1211.46251821	v01	en	ar			Al-Garma	33.52738421	43.88492282
Al-Gharraf	القراف			IQG17Q03N02	Al-Shatra	الشطرة			IQG17Q03	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		657.2779486	v01	en	ar			Al-Gharraf	31.24505989	46.18956015
Al-Habbaniya	الحبانية			IQG01Q03N01	Al-Ramadi	الرمادي			IQG01Q03	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		716.0806995	v01	en	ar			Al-Habbaniya	33.32906009	43.46585306
