adm3_name	adm3_name1	adm3_name2	adm3_name3	adm3_pcode	adm2_name	adm2_name1	adm2_name2	adm2_name3	adm2_pcode	adm1_name	adm1_name1	adm1_name2	adm1_name3	adm1_pcode	adm0_name	adm0_name1	adm0_name2	adm0_name3	adm0_pcode	valid_on	valid_to	area_sqkm	version	lang	lang1	lang2	lang3	adm3_ref_name	center_lat	center_lon
Al-Thagar	الثغر			IQG02Q05N02	Al-Qurna	القرنة			IQG02Q05	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		1106.8869599	v01	en	ar			Al-Thagar	31.12122851	47.50797013
Al-Tharthar	الثرثار			IQG16Q05N02	Samarra	سامراء			IQG16Q05	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		2118.25559645	v01	en	ar			Al-Tharthar	34.15887607	43.43795971
Al-Wajihia	الوجيهية			IQG10Q02N01	Al-Muqdadiya	المقدادية			IQG10Q02	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		307.26328044	v01	en	ar			Al-Wajihia	33.7871977	44.90868249
Al-Walid	الوليد			IQG01Q04N02	Al-Rutba	الرطبة			IQG01Q04	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		9906.43936261	v01	en	ar			Al-Walid	33.33674462	39.33647365
Al-Warka	الوركاء			IQG03Q02N04	Al-Rumaitha	الرميثة			IQG03Q02	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		1113.49965342	v01	en	ar			Al-Warka	31.50251709	45.46927878
Al-Wihda	الوحدة			IQG08Q04N03	Al-Mada'in	المدائن			IQG08Q04	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		927.27246631	v01	en	ar			Al-Wihda	33.25900836	44.74122572
Al-Yousifya	اليوسفية			IQG08Q05N04	Al-Mahmoudiya	المحمودية			IQG08Q05	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		518.43056948	v01	en	ar			Al-Yousifya	33.13547541	44.17703687
Al-Zab	الزاب			IQG13Q01N02	Al-Hawiga	الحويجة			IQG13Q01	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		635.47306904	v01	en	ar			Al-Zab	35.40464394	43.50583816
Al-Zubaidiya	الزبيدية			IQG18Q04N01	Al-Suwaira	الصويرة			IQG18Q04	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		438.18589266	v01	en	ar			Al-Zubaidiya	32.66109823	45.18462981
Ali Al-Sharki	علي الشرقي			IQG14Q02N02	Ali Al-Gharbi	علي الغربي			IQG14Q02	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		2737.13309037	v01	en	ar			Ali Al-Sharki	32.42091515	46.68041333
Altun Qupri	التون كوبري			IQG13Q03N03	Dibis	دبس			IQG13Q03	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		625.6677039	v01	en	ar			Altun Qupri	35.67313788	44.32234199
Ameraly	آمرلي			IQG16Q07N01	Tooz Khurmato	طوز خورماتو			IQG16Q07	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		715.09133363	v01	en	ar			Ameraly	34.67713136	44.53124218
Atreesh	ئةتريش			IQG15Q06N03	Al-Shikhan	الشيخان			IQG15Q06	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		299.75501524	v01	en	ar			Atreesh	36.83053625	43.332344
Baghdad Al-Jedeeda	بغداد الجديدة			IQG08Q06N02	Al-Risafa	الرصافة			IQG08Q06	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		91.53054909	v01	en	ar			Baghdad Al-Jedeeda	33.34600295	44.50195156
Balak	بالك			IQG11Q05N03	Rawanduz	راوندوز			IQG11Q05	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		576.28452171	v01	en	ar			Balak	36.60003156	44.88334755
Bardarash	بردرش			IQG15Q01N01	Aqra	عقرة			IQG15Q01	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		864.37154681	v01	en	ar			Bardarash	36.49125768	43.69009848
Bartilla	برطلة			IQG15Q03N02	Al-Hamdaniya	الحمدانية			IQG15Q03	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		203.8008878	v01	en	ar			Bartilla	36.3282205	43.35621796
Barwana	بروانه			IQG01Q06N02	Haditha	حديثة			IQG01Q06	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		1933.38929524	v01	en	ar			Barwana	34.32355744	42.46700775
Barwari Bala	برواري بالا			IQG09Q01N01	Al-Amadiya	العمادية			IQG09Q01	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		720.48866543	v01	en	ar			Barwari Bala	37.23976168	43.36712469
Barzan	بارزان			IQG11Q01N01	Al-Zibar	الزيبار			IQG11Q01	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		451.59156701	v01	en	ar			Barzan	37.01730152	43.99992176
Bashiqa	بعشيقة			IQG15Q05N03	Al-Mosul	الموصل			IQG15Q05	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		515.54065082	v01	en	ar			Bashiqa	36.45521024	43.36126903
Bateel	باتيل			IQG09Q03N01	Sumail	سميل			IQG09Q03	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		641.92591744	v01	en	ar			Bateel	36.97144694	42.65017581
Batifa	باتيفا			IQG09Q04N02	Zakho	زاخو			IQG09Q04	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		527.9456088	v01	en	ar			Batifa	37.22716812	43.05685918
Bazian	بازيان			IQG06Q01N01	Al-Sulaymaniyah	السليمانية			IQG06Q01	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		367.08178601	v01	en	ar			Bazian	35.56571161	45.13989642
Bebaz	بيباز			IQG06Q06N02	Kalar	كلار			IQG06Q06	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		952.18230225	v01	en	ar			Bebaz	34.95940351	45.48531315
Begeel	بجيل			IQG15Q01N02	Aqra	عقرة			IQG15Q01	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		337.86830174	v01	en	ar			Begeel	36.65497867	44.13004804
Beni Hasheem	بني هاشم			IQG14Q03N01	Al-Kahla	الكحلاء			IQG14Q03	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		882.42561887	v01	en	ar			Beni Hasheem	31.62423188	47.60142458
Beni Saad	بني سعد			IQG10Q04N02	Baquba	بعقوبة			IQG10Q04	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		729.17117675	v01	en	ar			Beni Saad	33.6469505	44.54403432
Beyara	بيارة			IQG06Q05N01	Halabcha	حلبجة			IQG06Q05	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		176.46307998	v01	en	ar			Beyara	35.19096815	46.13138053
Bitwana	بتوانه			IQG06Q09N03	Rania	رانية			IQG06Q09	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		272.78106265	v01	en	ar			Bitwana	36.34102377	44.65345318
Bradost	برادوست			IQG11Q05N06	Rawanduz	راوندوز			IQG11Q05	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		1761.62028261	v01	en	ar			Bradost	36.9395967	44.64229232
Buhriz	بهرز			IQG10Q04N01	Baquba	بعقوبة			IQG10Q04	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		497.79226343	v01	en	ar			Buhriz	33.60633023	44.69692055
Cenkaw	سنكاو			IQG06Q02N04	Chamchamal	جمجمال			IQG06Q02	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		1129.16706174	v01	en	ar			Cenkaw	35.24610051	45.19739395
Dercar	دركار			IQG09Q04N03	Zakho	زاخو			IQG09Q04	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		566.66728881	v01	en	ar			Dercar	37.22745342	42.79317886
Diana	ديانا			IQG11Q05N02	Rawanduz	راوندوز			IQG11Q05	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		258.99635015	v01	en	ar			Diana	36.69424143	44.52709123
Dibaga	ديبكة			IQG11Q04N03	Makhmour	مخمور			IQG11Q04	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		636.99462533	v01	en	ar			Dibaga	35.85153073	43.77084482
Dijla	دجلة			IQG16Q05N04	Samarra	سامراء			IQG16Q05	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		2318.45222107	v01	en	ar			Dijla	34.43974903	43.30045028
Dinarta	دينارتة			IQG15Q01N04	Aqra	عقرة			IQG15Q01	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		939.00374846	v01	en	ar			Dinarta	36.84271814	43.91422553
Fayde	فايدة			IQG09Q03N02	Sumail	سميل			IQG09Q03	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		34.2725523	v01	en	ar			Fayde	36.74391154	42.94171392
Garmat Beni Said	كرمة بني سعد			IQG17Q05N01	Suq Al-Shoyokh	سوق الشيوخ			IQG17Q05	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		362.94088491	v01	en	ar			Garmat Beni Said	30.78258809	46.60156644
Ghammas	غماس			IQG05Q04N02	Al-Shamiya	الشامية			IQG05Q04	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		428.56088588	v01	en	ar			Ghammas	31.70489719	44.67392875
Gnareen	جنارين			IQG06Q04N01	Dokan	دوكان			IQG06Q04	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		481.39005162	v01	en	ar			Gnareen	36.02702315	44.89790635
Gwyer	الكوير			IQG11Q04N04	Makhmour	مخمور			IQG11Q04	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		592.07570681	v01	en	ar			Gwyer	36.07467188	43.60970809
Haji Omaran	الحج عمران			IQG11Q05N07	Rawanduz	راوندوز			IQG11Q05	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		286.07133359	v01	en	ar			Haji Omaran	36.68408094	44.95726836
Hammam Al-Alil	حمام العليل			IQG15Q05N02	Al-Mosul	الموصل			IQG15Q05	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		716.69571237	v01	en	ar			Hammam Al-Alil	36.14248473	43.09292342
Hamreen	حمرين			IQG16Q01N01	Al-Daur	الدور			IQG16Q01	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		1250.14108816	v01	en	ar			Hamreen	34.52050073	44.35656612
Harir	ديرة حرير			IQG11Q06N03	Shaqlawa	شقلاوة			IQG11Q06	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		443.6933642	v01	en	ar			Harir	36.5525059	44.2127556
Hero	هيرو			IQG06Q08N01	Pshdar	بشدر			IQG06Q08	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		205.0151182	v01	en	ar			Hero	36.08918364	45.29084955
Hibhib	هبهب			IQG10Q01N03	Al-Khalis	الخالص			IQG10Q01	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		201.31162878	v01	en	ar			Hibhib	33.71618036	44.47928654
Jabarra	جبارة			IQG10Q06N01	Kifri	كفري			IQG10Q06	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		817.65420069	v01	en	ar			Jabarra	34.60590706	44.99093604
Jalawla	جلولاء			IQG10Q05N04	Khanaqin	خانقين			IQG10Q05	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		636.88902196	v01	en	ar			Jalawla	34.32218172	45.0742893
Jassan	جصان			IQG18Q05N02	Badra	بدرة			IQG18Q05	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		1877.52976298	v01	en	ar			Jassan	32.88013744	45.84193608
Jurf Al-Sakhar	جرف الصخر			IQG07Q04N01	Al-Mussyab	المسيب			IQG07Q04	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		628.84967689	v01	en	ar			Jurf Al-Sakhar	32.8042382	44.20549042
Kadr Karam	قادر كرم			IQG06Q02N03	Chamchamal	جمجمال			IQG06Q02	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		1486.76462596	v01	en	ar			Kadr Karam	35.18959085	44.88729948
Kanan	كنعان			IQG10Q04N03	Baquba	بعقوبة			IQG10Q04	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		595.08851171	v01	en	ar			Kanan	33.61810446	44.86506045
Karmak	كرمك			IQG06Q07N01	Panjwin	بنجوين			IQG06Q07	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		668.47330678	v01	en	ar			Karmak	35.76589745	46.06523333
Khailfan	خليفان			IQG11Q05N04	Rawanduz	راوندوز			IQG11Q05	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		328.3117024	v01	en	ar			Khailfan	36.60235411	44.38127838
Khoshnaw	خوشناو			IQG11Q06N01	Shaqlawa	شقلاوة			IQG11Q06	Erbil	اربيل			IQG11	Iraq	العراق			IQ	2019-06-03 00:00:00		593.91309556	v01	en	ar			Khoshnaw	36.36102154	44.44108281
Khourmal	خورمال			IQG06Q05N02	Halabcha	حلبجة			IQG06Q05	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		191.22503792	v01	en	ar			Khourmal	35.35992116	46.02415246
Kubaisa	كبيسة			IQG01Q07N03	Heet	هيت			IQG01Q07	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		2387.15735356	v01	en	ar			Kubaisa	33.48026077	42.51643845
Kumait	كميت			IQG14Q01N01	Al-Amara	العمارة			IQG14Q01	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		1776.76915923	v01	en	ar			Kumait	31.89944042	46.64036883
Kurdsein	كردسين			IQG15Q01N03	Aqra	عقرة			IQG15Q01	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		654.54361687	v01	en	ar			Kurdsein	36.64658355	43.8645432
Lilan	ليلان			IQG13Q04N02	Kirkuk	كركوك			IQG13Q04	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		672.71881506	v01	en	ar			Lilan	35.28317703	44.59578726
Makkhoul	مكحول			IQG16Q03N03	Beygee	بيجي			IQG16Q03	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		997.95898359	v01	en	ar			Makkhoul	35.20143311	43.20512492
Mandali	مندلي			IQG10Q03N01	Baladruz	مندلي			IQG10Q03	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		1520.84276934	v01	en	ar			Mandali	33.69084933	45.43959897
Markaz Abu Al-Khaseeb	مركز ابي الخصيب			IQG02Q01N02	Abu Al-Khaseeb	ابي الخصيب			IQG02Q01	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		191.8479375	v01	en	ar			Markaz Abu Al-Khaseeb	30.40757149	47.92151232
Markaz Afaq	مركز عفك			IQG05Q01N03	Afaq	عفك			IQG05Q01	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		531.64056706	v01	en	ar			Markaz Afaq	32.04919527	45.32779528
Markaz Ain Al-Tamur	مركز عين التمر			IQG12Q01N01	Ain Al-Tamur	عين التمر			IQG12Q01	Kerbala	كربلاء			IQG12	Iraq	العراق			IQ	2019-06-03 00:00:00		1846.5769247	v01	en	ar			Markaz Ain Al-Tamur	32.48256544	43.53271318
Markaz Al-Adhamiya	مركز الاعظمية			IQG08Q01N01	Al-Adhamiya	الاعظمية			IQG08Q01	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		29.01359276	v01	en	ar			Markaz Al-Adhamiya	33.37580878	44.38489186
Markaz Al-Amadiya	مركز العمادية			IQG09Q01N02	Al-Amadiya	العمادية			IQG09Q01	Duhok	دهوك			IQG09	Iraq	العراق			IQ	2019-06-03 00:00:00		387.94949999	v01	en	ar			Markaz Al-Amadiya	37.05887701	43.62689556
Markaz Al-Baaj	مركز البعاج			IQG15Q02N01	Al-Baaj	البعاج			IQG15Q02	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		7509.55051955	v01	en	ar			Markaz Al-Baaj	35.62491001	41.69463182
Markaz Al-Basrah	مركز البصرة			IQG02Q02N02	Al-Basrah	البصرة			IQG02Q02	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		266.04321343	v01	en	ar			Markaz Al-Basrah	30.45263251	47.76663666
Markaz Al-Chibayish	مركز الجبايش			IQG17Q01N03	Al-Chibayish	الجبايش			IQG17Q01	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		1031.54794867	v01	en	ar			Markaz Al-Chibayish	30.87719083	47.01511917
Markaz Al-Diwaniya	مركز الديوانية			IQG05Q02N04	Al-Diwaniya	الديوانية			IQG05Q02	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		371.24138876	v01	en	ar			Markaz Al-Diwaniya	31.97379637	45.02678658
Markaz Al-Falluja	مركز الفلوجة			IQG01Q01N03	Al-Falluja	الفلوجة			IQG01Q01	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		580.10561548	v01	en	ar			Markaz Al-Falluja	33.353018	43.76852372
Markaz Al-Faw	مركز الفاو			IQG02Q03N02	Al-Faw	الفاو			IQG02Q03	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		416.96897672	v01	en	ar			Markaz Al-Faw	29.91546935	48.46773095
Markaz Al-Hamdaniya	مركز الحمدانية			IQG15Q03N03	Al-Hamdaniya	الحمدانية			IQG15Q03	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		541.73980699	v01	en	ar			Markaz Al-Hamdaniya	36.28041322	43.57934353
Markaz Al-Hamza	مركز الحمزة			IQG05Q03N03	Al-Hamza	الحمزة			IQG05Q03	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		667.91079414	v01	en	ar			Markaz Al-Hamza	31.58572325	44.9806178
Markaz Al-Hawiga	مركز الحويجة			IQG13Q01N01	Al-Hawiga	الحويجة			IQG13Q01	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		801.83477156	v01	en	ar			Markaz Al-Hawiga	35.37444374	43.84767685
Markaz Al-Hilla	مركز الحلة			IQG07Q02N03	Al-Hilla	الحلة			IQG07Q02	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		278.83676173	v01	en	ar			Markaz Al-Hilla	32.47777385	44.50166934
Markaz Al-Hindiya	مركز الهندية			IQG12Q02N02	Al-Hindiya	الهندية			IQG12Q02	Kerbala	كربلاء			IQG12	Iraq	العراق			IQ	2019-06-03 00:00:00		423.24546533	v01	en	ar			Markaz Al-Hindiya	32.46395707	44.16709093
Markaz Al-Kadhimiya	مركز الكاظمية			IQG08Q02N01	Al-Kadhmiyah	الكاظمية			IQG08Q02	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		26.83801672	v01	en	ar			Markaz Al-Kadhimiya	33.36269457	44.31810841
Markaz Al-Kahla	مركز الكحلاء			IQG14Q03N03	Al-Kahla	الكحلاء			IQG14Q03	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		398.87738617	v01	en	ar			Markaz Al-Kahla	31.64676973	47.30242123
Markaz Al-Karkh	مركز الكرخ			IQG08Q03N02	Al-Karkh	الكرخ			IQG08Q03	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		24.31049798	v01	en	ar			Markaz Al-Karkh	33.32235703	44.38449719
Markaz Al-Khalis	مركز الخالص			IQG10Q01N04	Al-Khalis	الخالص			IQG10Q01	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		512.18982708	v01	en	ar			Markaz Al-Khalis	33.94327553	44.55483785
Markaz Al-Khidhir	مركز الخضر			IQG03Q01N01	Al-Khidhir	الخضر			IQG03Q01	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		1718.16624307	v01	en	ar			Markaz Al-Khidhir	31.26050253	45.65162862
Markaz Al-Kufa	مركز الكوفة			IQG04Q01N02	Al-Kufa	الكوفة			IQG04Q01	Al-Najaf	النجف			IQG04	Iraq	العراق			IQ	2019-06-03 00:00:00		130.85543881	v01	en	ar			Markaz Al-Kufa	32.01626529	44.4137014
Markaz Al-Kut	مركز الكوت			IQG18Q02N03	Al-Kut	الكوت			IQG18Q02	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		1297.33641297	v01	en	ar			Markaz Al-Kut	32.64532735	45.81951837
Markaz Al-Mada'in	مركز المدائن			IQG08Q04N01	Al-Mada'in	المدائن			IQG08Q04	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		229.51489485	v01	en	ar			Markaz Al-Madain	33.09404647	44.63942197
Markaz Al-Mahawil	مركز المحاويل			IQG07Q03N01	Al-Mahaweel	المحاويل			IQG07Q03	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		180.10586063	v01	en	ar			Markaz Al-Mahawil	32.61977561	44.41419167
Markaz Al-Mahmoudiya	مركز المحمودية			IQG08Q05N01	Al-Mahmoudiya	المحمودية			IQG08Q05	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		73.79938733	v01	en	ar			Markaz Al-Mahmoudiya	33.05284699	44.34900852
Markaz Al-Maimouna	مركز الميمونة			IQG14Q04N02	Al-Maimouna	الميمونة			IQG14Q04	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		1345.27673735	v01	en	ar			Markaz Al-Maimouna	31.62691051	46.77736393
Markaz Al-Midaina	مركز المدينة			IQG02Q04N02	Al-Midaina	المدينة			IQG02Q04	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		420.61734694	v01	en	ar			Markaz Al-Midaina	30.87350478	47.15775506
Markaz Al-Muqdadiya	مركز المقدادية			IQG10Q02N02	Al-Muqdadiya	المقدادية			IQG10Q02	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		689.61495426	v01	en	ar			Markaz Al-Muqdadiya	33.95985706	45.01217059
Markaz Al-Najaf	مركز النجف			IQG04Q03N03	Al-Najaf	النجف			IQG04Q03	Al-Najaf	النجف			IQG04	Iraq	العراق			IQ	2019-06-03 00:00:00		1218.1042775	v01	en	ar			Markaz Al-Najaf	31.91478628	44.19519559
Markaz Al-Nasiriya	مركزالناصرية			IQG17Q04N02	Al-Nasiriya	الناصرية			IQG17Q04	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		765.17480325	v01	en	ar			Markaz Al-Nasiriya	30.97998877	46.17664758
Markaz Al-Noamaniya	مركز النعمانية			IQG18Q03N02	Al-Namaniya	النعمانية			IQG18Q03	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		1040.45956141	v01	en	ar			Markaz Al-Noamaniya	32.55110841	45.36055845
Markaz Al-Qurna	مركز القرنة			IQG02Q05N03	Al-Qurna	القرنة			IQG02Q05	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		133.14519084	v01	en	ar			Markaz Al-Qurna	30.99968867	47.45641388
Markaz Al-Ramadi	مركز الرمادي			IQG01Q03N03	Al-Ramadi	الرمادي			IQG01Q03	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		5115.15877492	v01	en	ar			Markaz Al-Ramadi	33.41594704	43.0925741
Markaz Al-Rifai	مركز الرفاعي			IQG17Q02N03	Al-Rifai	الرفاعي			IQG17Q02	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		1404.85196266	v01	en	ar			Markaz Al-Rifai	31.71965785	46.18303744
Markaz Al-Rumaitha	مركز الرميثة			IQG03Q02N05	Al-Rumaitha	الرميثة			IQG03Q02	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		108.47091707	v01	en	ar			Markaz Al-Rumaitha	31.53996155	45.14476548
Markaz Al-Rutba	مركز الرطبة			IQG01Q04N03	Al-Rutba	الرطبة			IQG01Q04	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		30242.77204683	v01	en	ar			Markaz Al-Rutba	32.98822662	40.91864928
Markaz Al-Salman	مركز السلمان			IQG03Q03N01	Al-Salman	السلمان			IQG03Q03	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		46555.39294725	v01	en	ar			Markaz Al-Salman	30.25071718	45.34806079
Markaz Al-Shatra	مركز الشطرة			IQG17Q03N01	Al-Shatra	الشطرة			IQG17Q03	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		403.40129985	v01	en	ar			Markaz Al-Shatra	31.43323297	46.18832753
Markaz Al-Shikhan	مركز الشيخان			IQG15Q06N01	Al-Shikhan	الشيخان			IQG15Q06	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		528.2585753	v01	en	ar			Markaz Al-Shikhan	36.61850422	43.36440656
Markaz Al-Shirqat	مركز الشرقاط			IQG16Q02N01	Al-Shirqat	الشرقاط			IQG16Q02	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		1423.61057098	v01	en	ar			Markaz Al-Shirqat	35.47424937	43.17633821
Markaz Al-Suwaira	مركز الصويرة			IQG18Q04N03	Al-Suwaira	الصويرة			IQG18Q04	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		628.08791557	v01	en	ar			Markaz Al-Suwaira	32.90416279	44.75914458
Markaz Al-Thawra	مركز الثورة			IQG08Q07N01	Al-Thawra	الثورة			IQG08Q07	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		78.62260254	v01	en	ar			Markaz Al-Thawra	33.38750281	44.46453008
Markaz Al-Zubair	مركز الزبير			IQG02Q06N01	Al-Zubair	الزبير			IQG02Q06	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		1065.07110905	v01	en	ar			Markaz Al-Zubair	30.4441975	47.51622098
